female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
0,1,1,72,1.3,1.17,0.66,0.94,0.66,1,0.74,1.25,0.94,0.94,0.94,0
0,1,0,73,1.53,1.42,0.72,1.22,0.72,1.16,0.94,1.14,1.22,1.22,1.22,0
0,1,1,73,1.34,1.2,0.66,0.95,0.66,0.99,0.72,1.25,0.95,0.95,0.95,0
0,1,0,74,1.58,1.47,0.72,1.25,0.72,1.21,0.93,1.16,1.25,1.25,1.25,0
0,1,1,74,1.39,1.24,0.65,0.96,0.65,0.97,0.69,1.26,0.96,0.96,0.96,0
0,1,0,75,1.96,1.77,0.67,1.5,0.67,1.39,1.12,1.19,1.5,1.5,1.5,0
0,1,1,75,1.59,1.41,0.57,1.14,0.57,1.17,0.86,1.28,1.14,1.14,1.14,0
0,1,0,77,2.26,2.13,0.67,1.79,0.67,1.6,1.35,1.21,1.79,1.79,1.79,0
0,1,1,77,1.81,1.61,0.57,1.28,0.57,1.41,1.06,1.31,1.28,1.28,1.28,0
0,1,0,79,2.6,2.55,0.67,2.14,0.67,1.83,1.62,1.24,2.14,2.14,2.14,0
0,1,1,79,1.81,1.83,0.57,1.43,0.57,1.41,1.31,1.34,1.43,1.43,1.43,0
0,1,0,81,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,1,1,81,1.81,1.83,0.57,1.43,0.57,1.41,1.31,1.34,1.43,1.43,1.43,0
0,1,0,83,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,1,1,83,1.81,1.83,0.57,1.43,0.57,1.41,1.31,1.34,1.43,1.43,1.43,0
0,1,0,85,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,1,1,85,1.81,1.83,0.57,1.43,0.57,1.41,1.31,1.34,1.43,1.43,1.43,0
0,1,0,87,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,1,1,87,1.81,1.83,0.57,1.43,0.57,1.41,1.31,1.34,1.43,1.43,1.43,0
0,1,0,89,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,1,1,89,1.81,1.83,0.57,1.43,0.57,1.41,1.31,1.34,1.43,1.43,1.43,0
0,1,0,91,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
0,1,1,91,1.81,1.83,0.57,1.43,0.57,1.41,1.31,1.34,1.43,1.43,1.43,0
0,0,0,1,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,0,1,1,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,0,0,15,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,0,1,15,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,0,0,16,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,0,1,16,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,0,0,17,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,0,1,17,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
